asset,strategy_family,applicable,state,reason,required_evidence
US100,CARRY_VALUE,True,DATA_GATED,FUTURES_BASIS+RATES+DIVIDENDS,FUTURES_BASIS+RATES+DIVIDENDS
US100,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
US100,EVENT_RESPONSE,True,DATA_GATED,MACRO+EARNINGS+RATES_EVENT_FEED,MACRO+EARNINGS+RATES_EVENT_FEED
US100,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
US500,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US500,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
US500,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US500,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US500,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
US500,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US500,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US500,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
US500,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
US500,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
US500,INTERMARKET,True,EXECUTED_NO_TRIGGER,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
US500,CARRY_VALUE,True,DATA_GATED,FUTURES_BASIS+RATES+DIVIDENDS,FUTURES_BASIS+RATES+DIVIDENDS
US500,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
US500,EVENT_RESPONSE,True,DATA_GATED,MACRO+EARNINGS+RATES_EVENT_FEED,MACRO+EARNINGS+RATES_EVENT_FEED
US500,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
US30,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US30,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
US30,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US30,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US30,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
US30,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US30,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
US30,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
