asset,asset_class,exposure_group,mean_abs_core_corr,max_abs_core_corr,residual_variance_ratio,tail_codrawdown_frequency,rolling_vol_corr_abs,trend_chop_difference,session_novelty,stale_return_share,local_gap_gt5m_share,daily_observations,candidate_density_per_10000_m1,strategy_family_breadth,core_underlying_duplicate,anchor,structural_score,joint_selection_score,pairwise_selected_corr_at_entry,selected_order,selected
EURNZD,FX,EURNZD,0.23106797025096587,0.5887083493835603,0.515836116875431,0.25,0.5030608179948582,0.01238516899981787,0.05234305825578389,0.0289459047711169,0.0004534132952869,139,663.5552438758978,9,0.0,EURUSD,0.44261904761904763,,,,False
GBPCAD,FX,GBPCAD,0.21618278652478212,0.6823918216275726,0.4128581966251233,0.25,0.14585398580043663,0.019791690583345872,0.055256803610418515,0.0407553129028121,0.0005803869696376,124,647.3339317167981,9,0.0,USDCAD,0.43952380952380954,,,,False
EURAUD,FX,EURAUD,0.22676214840950393,0.6161375946270587,0.48432705233506995,0.1111111111111111,0.6909294903553835,0.05142633407288627,0.04542343356831751,0.0331489031256066,0.0003050725240591,123,650.0818149041795,9,0.0,EURUSD,0.4261904761904762,,,,False
NZDJPY,FX,NZDJPY,0.1912573460540615,0.6921782325431668,0.4633609295780518,0.8888888888888888,0.38674972317670914,0.015344573349121038,0.08478518331026708,0.0494980060519829,0.0001001983928177,127,654.6962986713693,9,0.0,USDJPY,0.3969047619047618,,,,False
CHFJPY,FX,CHFJPY,0.19936130849742714,0.8346955910785239,0.19949466228374402,0.7272727272727273,0.15236761756653452,0.04004796368578212,0.07455713823871891,0.0307185035377563,0.0003418961910446,146,664.147838230948,9,0.0,USDJPY,0.38499999999999995,,,,False
GBPAUD,FX,GBPAUD,0.21189356296078293,0.6185388279658284,0.3378942339582976,0.4166666666666667,0.6083498734301811,0.023877513923068527,0.039473632275200565,0.0282230275005002,0.0005613481247637,152,646.5507658789267,9,0.0,GBPUSD,0.37095238095238103,,,,False
AUDCAD,FX,AUDCAD,0.2596058258618512,0.7444527735041703,0.5089957287124373,0.6363636363636364,0.3558124793842896,0.018327706147360318,0.05117256019825142,0.0659888943839638,6.886233167855064e-05,135,647.6815304966226,9,0.0,USDCAD,0.32666666666666666,,,,False
AUDCHF,FX,AUDCHF,0.25815511733627633,0.6749521095039587,0.3192165957065842,0.6666666666666666,0.6090012403110263,0.05870925090857687,0.05376706226590666,0.0865907238668325,5.514942430128744e-05,136,655.2364378374073,9,0.0,USDCHF,0.32595238095238094,,,,False
LTCUSD,CRYPTO,LTC,0.22820637366556001,0.7559969477153899,0.38223473698455096,0.8888888888888888,0.612853701231382,0.008752381899091388,0.047346075904785484,0.3846822698020624,0.0038324785946101,151,569.3889079651311,9,0.0,BTCUSD,0.20809523809523806,,,,False
DOLLAR.IDX,INDEX,US_INDEX,0.26656541808958467,0.9479101260742663,0.08999020273638543,0.5,0.006394512307851843,0.005914232208176967,0.10067625336367994,0.0544022266482814,8.298861140901895e-05,127,651.843623921148,9,1.0,US500,0.18666666666666665,,,,False
ADAUSD,CRYPTO,ADA,0.2567774850640161,0.7632000721586412,0.3509598751119226,1.0,0.6459501945345627,0.020844764969328328,0.04435271743795775,0.3958464353095878,0.0210965639471728,147,575.3673317706249,9,0.0,BTCUSD,0.16928571428571434,,,,False
USSC2000.IDX,INDEX,US_INDEX,0.29050019216677997,0.7690433013087131,0.3470586579456811,0.8333333333333334,0.5748972157301249,0.0064686552151982935,0.17887957509912816,0.007777332751478,0.00060377448724,154,693.2048469342005,9,1.0,US500,0.16666666666666669,,,,False
BTCEUR,CRYPTO,BTC,0.2994331977846867,0.8913182742981878,0.2499301926390419,0.9166666666666666,0.5611186594455166,0.051723914344757094,0.05112805688742152,0.0032940934943986,4.665854807930087e-06,149,640.8551578691975,9,1.0,BTCUSD,0.1295238095238095,,,,False
BTCGBP,CRYPTO,BTC,0.29642570883137404,0.9226354171617095,0.2584980493031355,1.0,0.5215468850200159,0.04019055025356155,0.049146406215065885,0.0035274882309775,0.0,162,641.9856926450583,9,1.0,BTCUSD,0.12059523809523814,,,,False
BTCCHF,CRYPTO,BTC,0.2892829312549204,0.9157278072796053,0.26339950357860054,1.0,0.6233324347127501,0.020439977813933863,0.05054346164965408,0.0031926091099105,4.988451734235245e-06,139,637.0252864618409,9,1.0,BTCUSD,0.1,,,,False
ETHGBP,CRYPTO,ETH,0.29318993970944673,0.8197104319107047,0.2343179807204807,1.0,0.5240228678801438,0.0340387727019775,0.04979463925444699,0.0347491597046598,4.623358129944104e-06,150,606.4921194860675,9,1.0,ETHUSD,0.09000000000000002,,,,False
ETHEUR,CRYPTO,ETH,0.3015021343866365,0.9188592086412496,0.13228604388310872,1.0,0.5353398773636128,0.025953213185222368,0.051672927086948574,0.0280287236506833,4.063900775798658e-06,171,610.8449256102963,9,1.0,ETHUSD,0.05619047619047621,,,,False
