target,rule_type,field1,dir1,threshold1,quantile1,field2,dir2,threshold2,quantile2,disc_excluded,disc_excluded_pct,disc_target_removed,disc_wins_removed,disc_losses_removed,disc_flats_removed,disc_selection_frozen_delta_usd,disc_winner_pnl_removed,disc_loss_pnl_removed,disc_target_precision,valid_excluded,valid_excluded_pct,valid_target_removed,valid_wins_removed,valid_losses_removed,valid_flats_removed,valid_selection_frozen_delta_usd,valid_winner_pnl_removed,valid_loss_pnl_removed,valid_target_precision,discovery_pass,repair_score
severe_mae_loss,1D,reliability_strategy_win,ge,0.6332662721893492,0.9,,,,,89,0.10814094775212636,13,61,28,0,-16.011951431429182,25.712681310000043,-9.700729878570861,0.14606741573033707,36,0.1518987341772152,3,24,12,0,-9.98682015250034,14.817309438214098,-4.830489285713757,0.08333333333333333,False,-410.25
severe_mae_loss,1D,quality,le,0.58,0.1,,,,,89,0.10814094775212636,13,61,28,0,-16.011951431429182,25.712681310000043,-9.700729878570861,0.14606741573033707,36,0.1518987341772152,3,24,12,0,-9.98682015250034,14.817309438214098,-4.830489285713757,0.08333333333333333,False,-410.25
severe_mae_loss,1D,trailing_giveback,ge,0.8967585507542115,0.8,,,,,167,0.20291616038882138,11,84,26,57,-33.735332032143745,43.92041381785745,-10.185081785713704,0.0658682634730539,25,0.10548523206751055,3,10,10,5,-3.7979794285721904,7.918918714286082,-4.120939285713892,0.12,False,-413.0
barely_developed_loss,1D,quality,ge,0.8400000000000001,0.8,,,,,166,0.20170109356014582,11,60,33,73,-40.4581411687163,60.455982711572226,-19.99784154285592,0.06626506024096386,49,0.20675105485232068,3,22,6,21,-38.776311160573385,43.86820723200273,-5.091896071429344,0.061224489795918366,False,-418.75
severe_mae_loss,1D,quality,ge,0.8400000000000001,0.8,,,,,166,0.20170109356014582,9,60,33,73,-40.4581411687163,60.455982711572226,-19.99784154285592,0.05421686746987952,49,0.20675105485232068,1,22,6,21,-38.776311160573385,43.86820723200273,-5.091896071429344,0.02040816326530612,False,-436.75
severe_mae_loss,1D,reliability_score,le,-0.05612360587640852,0.3,,,,,248,0.30133657351154314,11,71,52,125,-22.474957479503118,50.10134739200268,-27.626389912499558,0.04435483870967742,59,0.2489451476793249,1,15,15,29,-8.183539124856468,17.165829039142565,-8.982289914286095,0.01694915254237288,False,-441.75
barely_developed_loss,1D,reliability_asset_strategy_win,le,0.2910004813364106,0.3,,,,,247,0.3001215066828676,20,73,51,123,-27.38130722950071,54.17166192771426,-26.790354698213548,0.08097165991902834,72,0.3037974683544304,9,23,16,33,-15.170546410572655,26.243259967717098,-11.072713557144441,0.125,False,-441.75
severe_mae_loss,1D,trailing_win_rate,le,0.28721174004192873,0.3,,,,,252,0.30619684082624543,9,68,50,134,-28.82466734378751,56.74629429200042,-27.921626948212918,0.03571428571428571,67,0.28270042194092826,5,19,15,33,-12.21942680342957,22.037302253431083,-9.817875450001509,0.07462686567164178,False,-446.75
severe_mae_loss,1D,reliability_asset_strategy_mean_r,le,0.11457466774677837,0.3,,,,,250,0.3037667071688943,13,76,54,120,-17.476397461645764,44.2567904812884,-26.780393019642634,0.052,56,0.23628691983122363,1,14,16,26,-7.545222124856281,17.031552110571095,-9.48632998571481,0.017857142857142856,False,-447.5
barely_developed_loss,1D,expected_r,le,0.126843373535016,0.3,,,,,248,0.30133657351154314,23,75,56,117,-22.29903754735733,50.235270924142434,-27.936233376785104,0.09274193548387097,74,0.31223628691983124,8,23,19,32,-11.252970356999505,22.839305128428524,-11.58633477142902,0.10810810810810811,False,-447.5
